Category,Country,Year,Value
General public services,Latvia,2017,4.015653488682349
General public services,Latvia,2018,4.027632950990616
General public services,Latvia,2019,3.802650707659411
General public services,Latvia,2020,3.8766752492242693
General public services,Malta,2012,7.231991309661214
General public services,Malta,2013,6.8111727905542345
General public services,Malta,2014,6.591171395595981
General public services,Malta,2015,6.206047995838626
General public services,Malta,2016,5.983246530248267
General public services,Malta,2017,5.347418862992812
General public services,Malta,2018,5.156358582348853
General public services,Malta,2019,5.118529542456923
General public services,Malta,2020,5.537830446672744
General public services,Netherlands,2012,5.201036501134822
General public services,Netherlands,2013,5.122921344571914
General public services,Netherlands,2014,5.147566859253082
General public services,Netherlands,2015,4.893711377259394
General public services,Netherlands,2016,4.303318900466868
General public services,Netherlands,2017,4.028877755891111
General public services,Netherlands,2018,4.041799151665338
General public services,Netherlands,2019,3.9667673158642405
General public services,Netherlands,2020,4.1402081528630434
General public services,Norway,2012,4.319551596565207
General public services,Norway,2013,4.3177734978911575
General public services,Norway,2014,4.450420180501638
General public services,Norway,2015,4.707987009255291
General public services,Norway,2016,4.715135667784249
General public services,Norway,2017,4.5502170291771975
General public services,Norway,2018,4.406162654404473
General public services,Norway,2019,4.744112036655388
General public services,Norway,2020,5.048791322077245
General public services,Poland,2012,5.798446973372904
General public services,Poland,2013,5.814839152901818
General public services,Poland,2014,5.104222926214129
General public services,Poland,2015,4.906049908499688
General public services,Poland,2016,4.700386334736011
General public services,Poland,2017,4.434481547433233
General public services,Poland,2018,4.357739746026135
General public services,Poland,2019,4.236263078992542
General public services,Poland,2020,4.393770412538545
General public services,Portugal,2012,9.285328909371367
General public services,Portugal,2013,9.436437891916526
General public services,Portugal,2014,9.19824308870599
General public services,Portugal,2015,8.773256499800794
General public services,Portugal,2016,8.238949261568193
General public services,Portugal,2017,7.603629957457928
General public services,Portugal,2018,7.147873543807731
General public services,Portugal,2019,6.574193024733341
General public services,Portugal,2020,7.096936996961384
General public services,Romania,2012,5.192011472884688
General public services,Romania,2013,5.306344623095819
General public services,Romania,2014,4.807988711314729
General public services,Romania,2015,4.7540112223138635
General public services,Romania,2016,4.360864817489312
General public services,Romania,2017,4.096695797724237
General public services,Romania,2018,4.432190900360506
General public services,Romania,2019,4.084020508648015
General public services,Romania,2020,4.891544429457391
General public services,Sweden,2012,7.728054160908443
General public services,Sweden,2013,7.80037238822978
General public services,Sweden,2014,7.43101205262401
General public services,Sweden,2015,7.018391212894465
General public services,Sweden,2016,6.670627205686019
General public services,Sweden,2017,6.769182053870054
General public services,Sweden,2018,7.049393729958224
General public services,Sweden,2019,6.884755682634348
General public services,Sweden,2020,7.046207271404563
General public services,Slovenia,2012,5.822366515599959
General public services,Slovenia,2013,6.426676688346779
General public services,Slovenia,2014,7.361901244343589
General public services,Slovenia,2015,6.640224849817002
General public services,Slovenia,2016,6.603087787316533
General public services,Slovenia,2017,5.85892544517371
General public services,Slovenia,2018,5.3624638429864655
General public services,Slovenia,2019,5.207373936550519
General public services,Slovenia,2020,5.373602208393768
General public services,Slovakia,2012,4.891153072737962
General public services,Slovakia,2013,5.640008161862623
General public services,Slovakia,2014,5.548854356979615
General public services,Slovakia,2015,5.970097097072112
General public services,Slovakia,2016,5.031920182316662
General public services,Slovakia,2017,5.156968414985727
General public services,Slovakia,2018,4.990948509424788
General public services,Slovakia,2019,5.264540039708802
General public services,Slovakia,2020,6.0674118813280264
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2012,2.4028959400978493
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2013,2.4944876697306846
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2014,2.241659139938904
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2015,2.302994284705109
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2016,2.2357721303773963
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2017,2.0325864687180784
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2018,2.244687613312185
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2019,2.15683732008626
"Executive and legislative organs, financial and fiscal affairs, external affairs",Austria,2020,2.42862672798966
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2012,2.5949395442011087
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2013,2.6036703319079613
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2014,2.420873476718429
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2015,2.41494269037733
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2016,2.52517349465327
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2017,2.0807545038187834
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2018,2.2193418639854556
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2019,2.1859833488284637
"Executive and legislative organs, financial and fiscal affairs, external affairs",Belgium,2020,2.454296328852873
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2012,2.325542871206528
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2013,2.6087866407294142
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2014,2.648166225073212
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2015,2.495617989055341
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2016,2.4027588978350773
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2017,2.1095994197744963
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2018,2.750387729258263
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2019,1.8840615024732572
"Executive and legislative organs, financial and fiscal affairs, external affairs",Bulgaria,2020,2.6337264292516576
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2012,0.8229952540463449
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2013,0.839525239449938
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2014,0.8466381820189064
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2015,0.8579407599314952
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2016,0.8725964194516547
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2017,0.8663535767778006
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2018,0.8791732567762823
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2019,0.8946327620494715
"Executive and legislative organs, financial and fiscal affairs, external affairs",Switzerland,2020,0.9361497136828603
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2012,4.5651794782358905
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2013,3.40515401628576
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2014,3.8346260324433152
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2015,4.006308445068601
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2016,3.3728134302454005
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2017,3.163092495224592
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2018,2.7935280575406805
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2019,3.1010260525884314
"Executive and legislative organs, financial and fiscal affairs, external affairs",Cyprus,2020,3.2226682926160883
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2012,4.263796417313754
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2013,2.7048535226371255
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2014,2.7651527392056714
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2015,2.5990485862671338
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2016,2.6773220017076342
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2017,2.4890165448514914
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2018,2.6523613490985705
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2019,2.6026811338860485
"Executive and legislative organs, financial and fiscal affairs, external affairs",Czechia,2020,3.240697406089005
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2012,1.7372537163380455
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2013,2.0012093833923204
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2014,1.9906197586278749
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2015,1.865850676430351
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2016,1.808060636607821
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2017,1.880991442108743
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2018,1.8833736944539363
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2019,1.9531794337308463
"Executive and legislative organs, financial and fiscal affairs, external affairs",Germany,2020,2.1300100134197444
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2012,1.682431317710093
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2013,1.6831392731079946
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2014,1.4822563469635794
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2015,1.5017346867015169
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2016,1.3241157049723127
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2017,1.3331379520651052
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2018,1.6078195685689116
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2019,1.5523393158063412
"Executive and legislative organs, financial and fiscal affairs, external affairs",Denmark,2020,1.7565131092953965
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2012,2.2894841125876972
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2013,2.330943164752417
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2014,2.171766043834359
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2015,2.4283373886406157
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2016,2.2434349983216766
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2017,2.0915849892588616
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2018,2.102791124547859
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2019,2.0468436539922994
"Executive and legislative organs, financial and fiscal affairs, external affairs",Estonia,2020,2.288731112324777
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2012,1.7469951789090807
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2013,1.89510596805504
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2014,1.8630526529598952
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2015,1.7718543348628923
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2016,1.8951919318808303
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2017,1.8281163618110223
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2018,1.9202740957363567
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2019,1.7185597912639783
"Executive and legislative organs, financial and fiscal affairs, external affairs",Greece,2020,1.9981149402772211
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2012,1.727565793557197
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2013,1.8320193361856887
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2014,1.6786621835197868
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2015,1.6196205889664332
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2016,1.640135675957
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2017,1.3852138337296085
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2018,1.5576574997570314
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2019,1.5085350373701438
"Executive and legislative organs, financial and fiscal affairs, external affairs",Spain,2020,1.7681748210402786
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2012,1.5962235807338947
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2013,1.693903220912192
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2014,1.622546484482617
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2015,1.5133524138420418
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2016,1.5419413565773867
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2017,1.3866487554186682
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2018,1.502599994859977
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2019,1.500054198734251
"Executive and legislative organs, financial and fiscal affairs, external affairs",Finland,2020,1.6669607373612616
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2012,1.6877122027724956
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2013,1.8980355556353259
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2014,1.7539126369626445
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2015,1.741877847484025
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2016,1.7472133435446207
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2017,1.8991033595938085
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2018,1.6593280768550496
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2019,1.6535289327565448
"Executive and legislative organs, financial and fiscal affairs, external affairs",France,2020,1.852697439351058
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2012,1.094546986634156
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2013,2.0251096493695586
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2014,2.859117372258128
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2015,2.3589251821228996
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2016,2.8405934256749763
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2017,2.381671631400055
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2018,2.2875147875147874
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2019,2.506451682469395
"Executive and legislative organs, financial and fiscal affairs, external affairs",Croatia,2020,3.24462715840785
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2012,3.8901679441702344
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2013,4.273388908613778
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2014,4.350493771161957
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2015,3.998014025941786
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2016,3.674658532871937
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2017,3.426577665603619
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2018,4.017137237550219
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2019,3.90558405635583
"Executive and legislative organs, financial and fiscal affairs, external affairs",Hungary,2020,3.95221528515924
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2012,1.5649538707880974
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2013,1.4424577170317667
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2014,1.3351602274288359
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2015,0.9792912582483795
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2016,1.0185218424657103
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2017,0.951225671943343
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2018,0.9849943958218335
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2019,0.8877373602695339
"Executive and legislative organs, financial and fiscal affairs, external affairs",Ireland,2020,0.8401808407119047
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2012,1.3092448540492514
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2013,1.3088379530038161
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2014,1.214316464528005
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2015,1.1927598716073768
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2016,1.1550611033705236
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2017,1.1816933346108396
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2018,1.2306046013911183
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2019,1.2632708838837126
"Executive and legislative organs, financial and fiscal affairs, external affairs",Iceland,2020,1.39965376985693
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2012,2.7613359044403185
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2013,2.744998562394586
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2014,2.8521470001086393
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2015,2.61037662616176
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2016,2.511518547024897
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2017,2.5223529661069652
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2018,2.3440897753133245
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2019,2.204048259857173
"Executive and legislative organs, financial and fiscal affairs, external affairs",Italy,2020,3.2685355012286363
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2012,1.9251605797032045
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2013,2.307966723269453
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2014,2.2445894487073996
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2015,1.975060047073693
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2016,1.8007246097315754
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2017,1.4424157270148994
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2018,1.5129011846591909
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2019,1.5099717429797048
"Executive and legislative organs, financial and fiscal affairs, external affairs",Lithuania,2020,1.7568957757345849
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2012,2.382958419127288
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2013,1.5983460469095316
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2014,1.422825841405796
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2015,1.7413371799868123
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2016,1.5978124149366373
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2017,1.5700856816712738
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2018,1.6877573967252817
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2019,2.10858440109277
"Executive and legislative organs, financial and fiscal affairs, external affairs",Luxembourg,2020,2.045661536561646
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2012,2.348229437719199
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2013,2.628195846660787
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2014,2.6293289539401843
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2015,2.8699215777243303
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2016,2.4606543614241287
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2017,2.407316820088644
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2018,2.440178914439383
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2019,2.221744147386126
"Executive and legislative organs, financial and fiscal affairs, external affairs",Latvia,2020,2.48167954050307
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2012,2.5378504990155477
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2013,2.6308170638067545
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2014,2.643096296465587
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2015,2.601858613342403
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2016,2.7463926914648376
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2017,2.352428664778915
"Executive and legislative organs, financial and fiscal affairs, external affairs",Malta,2018,2.5364836692147326
